visual_id,x,y,width,height,measure,client,layout_lane,filter_context,description,source_class,upstream_tables,audit_note
0417075ed6fc26c118b0,9708.333,2028.333,183.333,61.667,T-T-DAF,DAF,DAF — estoque/logística,,Tempo Total DAF,MISTO: banco + parâmetro,Calendar; DAF; DAF SLITTERS; Dados de embarque; FH; Lotes; MP; Operações; SCANIA; Segregacao; VM,

f01f2719b8dd930d261d,244.286,2028.571,112.857,52.857,T-B,DAF,DAF — estoque/logística,,Tempo Beneficiador,CONSTANTE ou medida derivada,,

100c75bc2e7b770b6fa4,8603.333,2030.0,256.667,60.0,T-M,DAF,DAF — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

59c1a3320b351bc28746,9220.0,2033.333,256.667,60.0,T-M,DAF,DAF — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

5f196c709cea3887b89f,6008.0,2034.0,122.0,54.0,D-E-DAF-CL,DAF,DAF — estoque/logística,,Dias de Estoque DAF Cantilever,BANCO/CÁLCULO,DAF; DAF SLITTERS,

a0c301f473c974c9050e,5501.667,2035.0,255.0,60.0,T-M,DAF,DAF — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

5712cd38245e4983c6ec,7490.0,2035.0,255.0,60.0,T-M,DAF,DAF — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

dd95f3747df9b70b7781,7770.0,2035.0,255.0,60.0,E-P-D-DAF-STJ,DAF,DAF — estoque/logística,Operações[Dados ]=Ag. Stenhøj,Estoque em Peças em Dias DAF Stenhoj,BANCO/CÁLCULO,Calendar; DAF; DAF SLITTERS,

a2c46ae278e01c811d84,6891.0,2035.5,256.0,60.0,T-M,DAF,DAF — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

66fd25afab4a663d3724,7095.0,2037.5,257.5,60.0,D-E-DAF-REB,DAF,DAF — estoque/logística,,Dias de Estoque DAF Rebitagem,BANCO/CÁLCULO,DAF; DAF SLITTERS,

bd837fed380efcb7b2c9,9586.0,2038.0,128.0,54.0,E-P-D-DAF-EMB,DAF,DAF — estoque/logística,Operações[Dados ]=Estoque FG; Dados de embarque[Data],Estoque em Peças em Dias DAF Embalagem,BANCO/CÁLCULO,Calendar; DAF; DAF SLITTERS,

7138243036947463bcc5,6500.0,2038.333,126.667,53.333,D-E-DAF-P.I,DAF,DAF — estoque/logística,,Dias de Estoque DAF Pintura Input,BANCO/CÁLCULO,DAF; DAF SLITTERS,

878e73f404a565a23b98,8160.0,2046.667,150.0,60.0,T-M,DAF,DAF — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

4c9159ef10e705e0091e,1543.333,2083.333,126.667,53.333,Q-D-S-RF3,Compartilhado/por contexto,Segregação,,Quantidade de Dias Segregados RF3,BANCO/CÁLCULO,Calendar; DAF; DAF SLITTERS; FH; SCANIA; Segregacao; VM,

700eb206908a29ba15dc,1163.333,2090.0,126.667,53.333,Q-D-S-RF2,Compartilhado/por contexto,Segregação,,Quantidade de Dias Segregados RF2,BANCO/CÁLCULO,Calendar; FH; Segregacao,

94196cffd53490024ed0,6623.333,2093.333,126.667,53.333,Q-D-S-LPP2,Compartilhado/por contexto,Segregação,Calendar[Date],Quantidade de Dias Segregados Pintura,BANCO/CÁLCULO,Calendar; DAF; DAF SLITTERS; FH; SCANIA; Segregacao; VM,

e8f157e39abd633e92a0,8303.333,2100.0,303.333,53.333,Q-D-S-EMB,Compartilhado/por contexto,Segregação,Calendar[Date],Quantidade de Dias Segregados Embalagem,BANCO/CÁLCULO,Calendar; DAF; DAF SLITTERS; FH; SCANIA; Segregacao; VM,

0e82d8cf040e60b20802,8036.667,2103.333,126.667,53.333,Q-D-S-STJ,Compartilhado/por contexto,Segregação,Calendar[Date],Quantidade de Dias Segregados Stenhoj,BANCO/CÁLCULO,Calendar; DAF; DAF SLITTERS; FH; SCANIA; Segregacao,

aaa6dbab78e7080f6949,2665.75,2134.5,500.0,70.0,D-E-DAF-B,DAF,Rodapé sobreposto,,Dias de Estoque DAF Beattys,BANCO/CÁLCULO,DAF; DAF SLITTERS,duplicação de cartões DAF; validar se deve permanecer

3801e10fe91ad07be505,1297.75,2140.5,256.0,60.0,T-M,DAF,Rodapé sobreposto,,Tempo de Movimentação,CONSTANTE ou medida derivada,,duplicação de cartões DAF; validar se deve permanecer

526c3716ffb362e4172e,1862.083,2147.5,123.333,55.0,E-P-D-DAF-M3,DAF,Rodapé sobreposto,,Estoque em Peças em Dias DAF Mesa 3,BANCO/CÁLCULO,Calendar; DAF; DAF SLITTERS; Segregacao,duplicação de cartões DAF; validar se deve permanecer

